bangmok_id,sillok_id
G002+AKS-KHF_12AE40C601FFFFB1475X0,M_0000292
G002+AKS-KHF_12AE40C628FFFFB1538X0,M_0000294
G002+AKS-KHF_12AE40C639FFFFB1484X0,M_0000295
G002+AKS-KHF_12AE40C655FFFFB1606X0,M_0000297
G002+AKS-KHF_12AE40C6A9FFFFB1557X0,M_0000298
G002+AKS-KHF_12AE40C6A9FFFFB1726X0,M_0000299
G002+AKS-KHF_12AE40C6A9FFFFB1744X0,M_0000300
G002+AKS-KHF_12AE40C721FFFFB1580X0,M_0000307
G002+AKS-KHF_12AE40C775FFFFB1504X0,M_0000308
G002+AKS-KHF_12AE40C775FFFFB1723X0,M_0000309
G002+AKS-KHF_12AE40C7ACFFFFB1650X0,M_0000310
G002+AKS-KHF_12AE40C804FFFFB1658X0,M_0000312
G002+AKS-KHF_12AE40C815FFFFB1486X0,M_0000313
G002+AKS-KHF_12AE40C900FFFFB1793X0,M_0000315
G002+AKS-KHF_12AE40C900FFFFB1825X0,M_0000316
G002+AKS-KHF_12C720C9C0FFFFU9999X2,M_0000335
G002+AKS-KHF_12C724AC15FFFFB1597X0,M_0000337
G002+AKS-KHF_12C724AC1CFFFFB1494X0,M_0000338
G002+AKS-KHF_12C724ACB8FFFFB1601X0,M_0000340
G002+AKS-KHF_12C724ACBDFFFFB1567X0,M_0000341
G002+AKS-KHF_12C724ACC4FFFFB1603X0,M_0000342
G002+AKS-KHF_12C724ACC4FFFFB1622X0,M_0000343
G002+AKS-KHF_12C724AD6CFFFFB1495X0,M_0000346
G002+AKS-KHF_12C724AD6CFFFFB1606X0,M_0000347
G002+AKS-KHF_12C724AE09FFFFB1697X0,M_0000349
G002+AKS-KHF_12C724AE0DFFFFB1432X0,M_0000350
G002+AKS-KHF_12C724AE30FFFFB1535X0,M_0000351
G002+AKS-KHF_12C724B3C8FFFFB1551X0,M_0000353
G002+AKS-KHF_12C724B9ACFFFFB1636X0,M_0000354
G002+AKS-KHF_12C724BC29FFFFB1563X0,M_0000356
G002+AKS-KHF_12C724BC29FFFFB1718X0,M_0000357
G002+AKS-KHF_12C724BCF5FFFFB1512X0,M_0000359
G002+AKS-KHF_12C724BD80FFFFB1510X0,M_0000360
G002+AKS-KHF_12C724BE48FFFFB1630X0,M_0000361
G002+AKS-KHF_12C724C0C1FFFFB1373X0,M_0000362
G002+AKS-KHF_12C724C11DFFFFB1435X0,M_0000363
G002+AKS-KHF_13AE40C9C0D615U9999X0,M_0008940
G002+AKS-KHF_12C724C120FFFFB1559X0,M_0000364
G002+AKS-KHF_12C724C12CFFFFB1561X0,M_0000365
G002+AKS-KHF_12C724C131FFFFB1599X0,M_0000366
G002+AKS-KHF_12C724C218FFFFU9999X1,M_0000367
G002+AKS-KHF_12C724C219FFFFB1734X0,M_0000368
G002+AKS-KHF_12C724C21CFFFFB1680X0,M_0000369
G002+AKS-KHF_12C724C2DDFFFFB1678X0,M_0000370
G002+AKS-KHF_12C724C2ECFFFFB1633X0,M_0000371
G002+AKS-KHF_12C724C591FFFFB1603X0,M_0000373
G002+AKS-KHF_12C724C591FFFFB1573X0,M_0000374
G002+AKS-KHF_12C724C5F0FFFFB1635X0,M_0000375
G002+AKS-KHF_12C724C5F0FFFFB1680X0,M_0000376
G002+AKS-KHF_12C724C625FFFFB1511X0,M_0000377
G002+AKS-KHF_12C724C6B0FFFFU9999X0,M_0000378
G002+AKS-KHF_12C724C720FFFFB1674X0,M_0000379
G002+AKS-KHF_12C724C758FFFFB1557X0,M_0000380
G002+AKS-KHF_12C724C778FFFFB1565X0,M_0000382
G002+AKS-KHF_12C724C790FFFFU9999X0,M_0000384
G002+AKS-KHF_12C724C7A5FFFFB1670X0,M_0000385
G002+AKS-KHF_12C724C7A5FFFFU9999X0,M_0000386
G002+AKS-KHF_12C724C808FFFFB1625X0,M_0000390
G002+AKS-KHF_12C724C8FCFFFFB1525X0,M_0000391
G002+AKS-KHF_12C724C9C0FFFFB1600X0,M_0000393
G002+AKS-KHF_12C724C9C4FFFFB1631X0,M_0000394
G002+AKS-KHF_12C724C9D1FFFFB1601X0,M_0000396
G002+AKS-KHF_12C724C9D1FFFFB1606X0,M_0000397
G002+AKS-KHF_12C724D0C1FFFFB1472X0,M_0000399
G002+AKS-KHF_12C724D0C1FFFFB1569X0,M_0000401
G002+AKS-KHF_12C724D568FFFFB1744X0,M_0000403
G002+AKS-KHF_12C724D604FFFFB1514X0,M_0000406
G002+AKS-KHF_12C724D604FFFFB1536X0,M_0000407
G002+AKS-KHF_12C724D615FFFFB1391X0,M_0000408
G002+AKS-KHF_12C724D615FFFFB1549X0,M_0000409
G002+AKS-KHF_12C724D638FFFFB1424X0,M_0000410
G002+AKS-KHF_12C724D669FFFFB1571X0,M_0000413
G002+AKS-KHF_12C724D68CFFFFB1380X0,M_0000414
G002+AKS-KHF_12C724D6E4FFFFB1573X0,M_0000415
G002+AKS-KHF_12C724D718FFFFB1571X0,M_0000416
G002+AKS-KHF_12C724D754FFFFB1564X0,M_0000418
G002+AKS-KHF_12C774AC10FFFFB1516X0,M_0000425
G002+AKS-KHF_12C774AC15FFFFB1573X0,M_0000429
G002+AKS-KHF_12C774AC1CFFFFB1417X0,M_0000431
G002+AKS-KHF_12C774AC70FFFFB1532X0,M_0000432
G002+AKS-KHF_12C774AC70FFFFD1502X0,M_0000433
G002+AKS-KHF_12C774AC70FFFFU9999X0,M_0000434
G002+AKS-KHF_12C774AC74FFFFB1505X0,M_0000435
G002+AKS-KHF_12C774ACA9FFFFB1682X0,M_0000436
G002+AKS-KHF_12C774ACB8FFFFU9999X1,M_0000438
G002+AKS-KHF_12C774ACBDFFFFB1580X0,M_0000439
G002+AKS-KHF_12C774ACC4FFFFB1603X0,M_0000440
G002+AKS-KHF_12C774ACE4FFFFB1462X0,M_0000446
G002+AKS-KHF_12C774ACE4FFFFB1737X0,M_0000447
G002+AKS-KHF_12C774ACF5FFFFB1533X0,M_0000448
G002+AKS-KHF_12C774ACFCFFFFB1475X0,M_0000449
G002+AKS-KHF_12C774AD00FFFFD1418X0,M_0000453
G002+AKS-KHF_12C774AD00FFFFU9999X2,M_0000454
G002+AKS-KHF_12C774AD11FFFFB1541X0,M_0000456
G002+AKS-KHF_12C774AD49FFFFB1441X0,M_0000460
G002+AKS-KHF_12C774AD49FFFFB1651X0,M_0000461
G002+AKS-KHF_12C774AD6CFFFFB1469X0,M_0000462
G002+AKS-KHF_12C774AD6CFFFFB1620X0,M_0000463
G002+AKS-KHF_12C774ADC0FFFFB1557X0,M_0000466
G002+AKS-KHF_12C774ADE0FFFFB1452X0,M_0000467
G002+AKS-KHF_12C774ADFCFFFFB1687X0,M_0000468
G002+AKS-KHF_12C774AE0DFFFFB1389X0,M_0000471
G002+AKS-KHF_12C774AE30FFFFB1476X0,M_0000473
G002+AKS-KHF_12C774AE30FFFFB1493X0,M_0000474
G002+AKS-KHF_12C774AE30FFFFB1522X0,M_0000475
G002+AKS-KHF_12C774AE30FFFFB1707X0,M_0000478
G002+AKS-KHF_12C774AE30FFFFB1730X0,M_0000479
G002+AKS-KHF_13C774C138D615D1442X0,M_0004581
G002+AKS-KHF_12C774AE38FFFFB1547X0,M_0000480
G002+AKS-KHF_12C774B2F4FFFFB1370X0,M_0000486
G002+AKS-KHF_12C774B2F4FFFFB1510X0,M_0000487
G002+AKS-KHF_12C774B2F4FFFFB1558X0,M_0000488
G002+AKS-KHF_12C774B2F4FFFFB1723X0,M_0000490
G002+AKS-KHF_12C774B2F9FFFFU9999X0,M_0000493
G002+AKS-KHF_12C774B3C4FFFFB1609X0,M_0000494
G002+AKS-KHF_12C774B798FFFFB1603X0,M_0000495
G002+AKS-KHF_12C774B85CFFFFB1544X0,M_0000497
G002+AKS-KHF_12C774BAA9FFFFB1572X0,M_0000510
G002+AKS-KHF_12C774B959FFFFB1438X0,M_0000498
G002+AKS-KHF_12C774B9B0FFFFU9999X0,M_0000500
G002+AKS-KHF_12C774B9BCFFFFB1501X0,M_0000502
G002+AKS-KHF_12C774B9CCFFFFB1605X0,M_0000503
G002+AKS-KHF_12C774B9E5FFFFB1455X0,M_0000504
G002+AKS-KHF_12C774BA85FFFFB1496X0,M_0000505
G002+AKS-KHF_12C774BA85FFFFB1521X0,M_0000506
G002+AKS-KHF_12C774BA85FFFFB1570X0,M_0000508
G002+AKS-KHF_12C774BAA9FFFFB1471X0,M_0000509
G002+AKS-KHF_12C774BB34FFFFB1600X0,M_0000512
G002+AKS-KHF_12C774BB34FFFFB1621X0,M_0000513
G002+AKS-KHF_12C774BBF8FFFFB1484X0,M_0000514
G002+AKS-KHF_12C774BBF8FFFFB1725X0,M_0000515
G002+AKS-KHF_12C774BC1CFFFFB1544X0,M_0000519
G002+AKS-KHF_12C774BC88FFFFU9999X0,M_0000522
G002+AKS-KHF_12C774BCC0FFFFB1391X0,M_0000523
G002+AKS-KHF_12C774BCD1FFFFB1561X0,M_0000524
G002+AKS-KHF_12C774BD80FFFFB1444X0,M_0000526
G002+AKS-KHF_12C774BCF5FFFFB1626X0,M_0000529
G002+AKS-KHF_12C774BD09FFFFB1441X0,M_0000530
G002+AKS-KHF_12C774BD80FFFFB1482X0,M_0000531
G002+AKS-KHF_12C774BD80FFFFU9999X0,M_0000533
G002+AKS-KHF_12C774BD84FFFFB1566X0,M_0000534
G002+AKS-KHF_12C774D544FFFFB1584X0,M_0000536
G002+AKS-KHF_12C774BE48FFFFB1550X0,M_0000540
G002+AKS-KHF_12C774BE48FFFFB1597X0,M_0000541
G002+AKS-KHF_12C774BE48FFFFU9999X0,M_0000543
G002+AKS-KHF_12C774C0C1FFFFU9999X0,M_0000547
G002+AKS-KHF_12C774C0C1FFFFU9999X1,M_0000548
G002+AKS-KHF_12C774C21CFFFFU9999X3,M_0000577
G002+AKS-KHF_12C774C11DFFFFB1603X0,M_0000553
G002+AKS-KHF_12C774C120FFFFB1522X0,M_0000554
G002+AKS-KHF_12C774C120FFFFB1597X0,M_0000555
G002+AKS-KHF_12C774C120FFFFB1632X0,M_0000556
G002+AKS-KHF_12C774C120FFFFB1762X0,M_0000557
G002+AKS-KHF_12C774C120FFFFD1459X0,M_0000558
G002+AKS-KHF_12C774C124FFFFB1850X0,M_0000560
G002+AKS-KHF_12C774C12CFFFFB1612X0,M_0000562
G002+AKS-KHF_12C774C131FFFFB1562X0,M_0000564
G002+AKS-KHF_12C774C131FFFFB1594X0,M_0000565
G002+AKS-KHF_12C774C190FFFFB1439X0,M_0000569
G002+AKS-KHF_12C774C218FFFFB1374X0,M_0000570
G002+AKS-KHF_12C774C2DDFFFFB1643X0,M_0000579
G002+AKS-KHF_12C774C2DDFFFFB1510X0,M_0000580
G002+AKS-KHF_12C774C2DDFFFFB1584X0,M_0000582
G002+AKS-KHF_12C774C2E0FFFFB1857X0,M_0000585
G002+AKS-KHF_12C774C2ECFFFFB1559X0,M_0000588
G002+AKS-KHF_12C774C57CFFFFB1648X0,M_0000594
G002+AKS-KHF_12C774C5ECFFFFB1503X0,M_0000598
G002+AKS-KHF_12C774C5ECFFFFB1645X0,M_0000599
G002+AKS-KHF_12C774C5F0FFFFB1725X0,M_0000600
G002+AKS-KHF_12C774C601FFFFB1501X0,M_0000602
G002+AKS-KHF_12C774C601FFFFB1541X0,M_0000603
G002+AKS-KHF_12C774C810FFFFB1446X0,M_0000673
G002+AKS-KHF_12C774C608FFFFB1419X0,M_0000606
G002+AKS-KHF_12C774C625FFFFB1641X0,M_0000608
G002+AKS-KHF_12C774C628FFFFB1605X0,M_0000610
G002+AKS-KHF_12C774C639FFFFU9999X3,M_0000611
G002+AKS-KHF_12C774C644FFFFB1668X0,M_0000614
G002+AKS-KHF_12C774C6B0FFFFB1432X0,M_0000616
G002+AKS-KHF_12C774C6B0FFFFB1469X0,M_0000617
G002+AKS-KHF_12C774C6B0FFFFB1697X0,M_0000619
G002+AKS-KHF_12C774C6B0FFFFB1807X0,M_0000620
G002+AKS-KHF_12C774C6B0FFFFU9999X2,M_0000621
G002+AKS-KHF_12C774C6B1FFFFB1562X0,M_0000622
G002+AKS-KHF_12C774C6B4FFFFB1469X0,M_0000624
G002+AKS-KHF_12C774C6D0FFFFB1543X0,M_0000626
G002+AKS-KHF_12C774C6D0FFFFD1504X0,M_0000627
G002+AKS-KHF_12C774C704FFFFB1676X0,M_0000628
G002+AKS-KHF_12C774C704FFFFB1839X0,M_0000630
G002+AKS-KHF_12C774C704FFFFU9999X0,M_0000631
G002+AKS-KHF_12C774C720FFFFB1618X0,M_0000633
G002+AKS-KHF_12C774C720FFFFB1645X0,M_0000634
G002+AKS-KHF_12C774C720FFFFB1691X0,M_0000635
G002+AKS-KHF_12C774C815FFFFB1512X0,M_0000677
G002+AKS-KHF_12C774C721FFFFB1557X0,M_0000637
G002+AKS-KHF_12C774C721FFFFB1697X0,M_0000638
G002+AKS-KHF_12C774C724FFFFB1462X0,M_0000639
G002+AKS-KHF_13C815D6C4ACB8B1749X0,M_0000640
G002+AKS-KHF_12C774C740FFFFB1722X0,M_0000642
G002+AKS-KHF_12C774C774FFFFB1536X0,M_0000646
G002+AKS-KHF_12C774C775FFFFB1579X0,M_0000648
G002+AKS-KHF_12C774C775FFFFB1629X0,M_0000649
G002+AKS-KHF_12C774C778FFFFB1486X0,M_0000654
G002+AKS-KHF_12C774C778FFFFB1527X0,M_0000655
G002+AKS-KHF_12C774C784FFFFU9999X0,M_0000657
G002+AKS-KHF_12C774C790FFFFB1466X0,M_0000658
G002+AKS-KHF_12C774C790FFFFB1480X0,M_0000659
G002+AKS-KHF_12C774C790FFFFB1683X0,M_0000660
G002+AKS-KHF_12C774C7A0FFFFB1581X0,M_0000661
G002+AKS-KHF_12C774C7ACFFFFB1606X0,M_0000663
G002+AKS-KHF_12C774C7ACFFFFB1680X0,M_0000665
G002+AKS-KHF_12C774C800FFFFB1689X0,M_0000668
